Country Name,Country Code,Series Name,Series Code,1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Kenya,KEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,13.8581814562484,11.6030534351142,20.6667146662827,11.3977827368523,10.284098213138,13.0065664218827,2.53427598892888,8.63767318980084,12.2649630481582,13.7893172763883,17.78181442992,20.0844955754632,27.3323644475784,45.9788813036218,28.8143894306731,1.55432816055009,8.86408741577522,11.3618450505783,6.72243650753928,5.74200109520484,9.98002515350979,5.73859814341467,1.96130821739162,9.81569062979654,11.6240355442426,10.3127783574683,14.4537342081708,9.75888023027529,26.2398166445063,9.23412592394652,3.96138889115385,14.0224913014704,9.37777003547598,5.71749357037733,6.87815499275949,6.58215429284779,6.29724953814625,8.00564967709945,4.6898064677633,5.23963795764792,5.40516207933392,6.10793603659176,7.65986268272224,7.67139634029402,4.48978854243448
Kenya,KEN,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,29.931403081751,29.4702012383901,30.4204686837168,28.17588909466,28.3420922294958,26.6818501045515,30.3880803880804,30.2439541369882,28.9010706363164,28.3989058948699,29.5770158681093,30.9819286132647,36.5177963970306,37.0652321479991,38.0160091374846,42.2322687761872,35.7916911095672,38.4226532591297,35.8071838047635,35.770797830914,35.1647273518432,35.240744132139,38.1589103711513,39.0231642223237,39.3270274406413,38.9067146493246,34.601568789648,36.0648196834475,36.1054991412913,31.8735611625184,35.5104303989891,36.5694357157819,36.5265195457312,37.7933919281896,42.3012569025283,42.8193857794093,40.3276116242301,39.351989294104,39.3598323408541,38.0704837589513,41.2025809064046,38.9887824596899,37.3799304186568,40.2067953496579,37.6316622952759
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 04/08/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
