year,broad_money,inflation
1980,29.931403081751,13.8581814562484
1981,29.4702012383901,11.6030534351142
1982,30.4204686837168,20.6667146662827
1983,28.17588909466,11.3977827368523
1984,28.3420922294958,10.284098213138
1985,26.6818501045515,13.0065664218827
1986,30.3880803880804,2.53427598892888
1987,30.2439541369882,8.63767318980084
1988,28.9010706363164,12.2649630481582
1989,28.3989058948699,13.7893172763883
1990,29.5770158681093,17.78181442992
1991,30.9819286132647,20.0844955754632
1992,36.5177963970306,27.3323644475784
1993,37.0652321479991,45.9788813036218
1994,38.0160091374846,28.8143894306731
1995,42.2322687761872,1.55432816055009
1996,35.7916911095672,8.86408741577522
1997,38.4226532591297,11.3618450505783
1998,35.8071838047635,6.72243650753928
1999,35.770797830914,5.74200109520484
2000,35.1647273518432,9.98002515350979
2001,35.240744132139,5.73859814341467
2002,38.1589103711513,1.96130821739162
2003,39.0231642223237,9.81569062979654
2004,39.3270274406413,11.6240355442426
2005,38.9067146493246,10.3127783574683
2006,34.601568789648,14.4537342081708
2007,36.0648196834475,9.75888023027529
2008,36.1054991412913,26.2398166445063
2009,31.8735611625184,9.23412592394652
2010,35.5104303989891,3.96138889115385
2011,36.5694357157819,14.0224913014704
2012,36.5265195457312,9.37777003547598
2013,37.7933919281896,5.71749357037733
2014,42.3012569025283,6.87815499275949
2015,42.8193857794093,6.58215429284779
2016,40.3276116242301,6.29724953814625
2017,39.351989294104,8.00564967709945
2018,39.3598323408541,4.6898064677633
2019,38.0704837589513,5.23963795764792
2020,41.2025809064046,5.40516207933392
2021,38.9887824596899,6.10793603659176
2022,37.3799304186568,7.65986268272224
2023,40.2067953496579,7.67139634029402
2024,37.6316622952759,4.48978854243448
