year,broad_money,inflation,exchange_rate,gdp_growth,food_index
1980,29.931403081751,13.8581814562484,7.420187499,5.5919762059677,28.54
1981,29.4702012383901,11.6030534351142,9.04749833258333,3.77354419402822,28.65
1982,30.4204686837168,20.6667146662827,10.9223249994167,1.50647825757706,31.93
1983,28.17588909466,11.3977827368523,13.3115166659167,1.3090502411486,32.82
1984,28.3420922294958,10.284098213138,14.4138749994167,1.75521697703473,30.5
1985,26.6818501045515,13.0065664218827,16.4321166665,4.30056181879613,34.44
1986,30.3880803880804,2.53427598892888,16.2257416665,7.17755539065963,37.85
1987,30.2439541369882,8.63767318980084,16.4544916666667,5.93710744420895,37.93
1988,28.9010706363164,12.2649630481582,17.7471,6.20318382314591,41.33
1989,28.3989058948699,13.7893172763883,20.5724666666667,4.69034876792047,43.1
1990,29.5770158681093,17.78181442992,22.9147666666667,4.19205097155167,42.71
1991,30.9819286132647,20.0844955754632,27.5078666666667,1.43834679171559,53.64
1992,36.5177963970306,27.3323644475784,32.2168333333333,-0.799493958641349,54.09
1993,37.0652321479991,45.9788813036218,58.0013333333333,0.353197256227247,53.68
1994,38.0160091374846,28.8143894306731,56.050575,2.632784517837,54.88
1995,42.2322687761872,1.55432816055009,51.4298333333333,4.40621652482287,57.13
1996,35.7916911095672,8.86408741577522,57.1148666666667,4.14683926876013,55.29
1997,38.4226532591297,11.3618450505783,58.7318416666667,0.474901921293579,54.56
1998,35.8071838047635,6.72243650753928,60.3667,3.29021372249065,60.8
1999,35.770797830914,5.74200109520484,70.3262166666667,2.30538859522412,62.02
2000,35.1647273518432,9.98002515350979,76.1755416666667,0.599695390807426,58.55
2001,35.240744132139,5.73859814341467,78.563195,3.77990649795343,66.11
2002,38.1589103711513,1.96130821739162,78.7491416666667,0.546859530175595,67.9
2003,39.0231642223237,9.81569062979654,75.9355694444445,2.93247554570904,69.79
2004,39.3270274406413,11.6240355442426,79.1738760642135,5.10429977629738,72.96
2005,38.9067146493246,10.3127783574683,75.5541094514311,5.90666607980057,81.11
2006,34.601568789648,14.4537342081708,72.1008350178622,6.47249430015484,82.95
2007,36.0648196834475,9.75888023027529,67.3176381242857,6.85072976998784,87.81
2008,36.1054991412913,26.2398166445063,69.175319816226,0.232282744812977,88.32
2009,31.8735611625184,9.23412592394652,77.352012297579,3.30693981631089,89.82
2010,35.5104303989891,3.96138889115385,79.2331517045454,8.05847360290906,98.14
2011,36.5694357157819,14.0224913014704,88.8107699710456,5.1211061197056,93.55
2012,36.5265195457312,9.37777003547598,84.5296017573529,4.56867961444982,96.4
2013,37.7933919281896,5.71749357037733,86.1228788982654,3.7978483925754,101.73
2014,42.3012569025283,6.87815499275949,87.9221638089727,5.02011100232484,102.26
2015,42.8193857794093,6.58215429284779,98.1784533265271,4.96772112759767,102.07
2016,40.3276116242301,6.29724953814625,101.504369498594,4.21351706814744,95.67
2017,39.351989294104,8.00564967709945,103.410004519014,3.83795817364721,90.64
2018,39.3598323408541,4.6898064677633,101.301574049018,5.64794640709219,100.31
2019,38.0704837589513,5.23963795764792,101.99129838935,5.11415885767801,107.28
2020,41.2025809064046,5.40516207933392,106.450780158517,-0.272766327438816,125.82
2021,38.9887824596899,6.10793603659176,109.637746592367,7.59048947333467,123.29
2022,37.3799304186568,7.65986268272224,117.865989201682,4.85998104287999,112.38
2023,40.2067953496579,7.67139634029402,139.846383759617,5.71999241214208,112.38
2024,37.6316622952759,4.48978854243448,134.822483279332,4.72473994710138,112.38
